"PLAYER","injuries","missed_games","travel_games","total_travel","played_games_48h","played_games_72h","played_games_7d","games_count","games_played","player_position","total_min","avg_perc_min","height","weight","salary","salary_claimed","age_season","wins","win_pct","ave_win_pct","matches_played_att","avg_attendance","missed_games_injury_att","avg_attendance_missed","n_returns","geo_att_return","wins_without","SGV_missed","player_win_factor","player_attendance_factor","win_pct_with","win_pct_without","attend_with","attend_without","games_with","games_without"
"Kelly Olynyk",2,12,55,37496.2326485898,0.975609756097561,1.51219512195122,3.01219512195122,82,68,"C",1941.6,0.594852941176471,83,240,12804878,1873884.58536586,31.7357973990418,28,0.411764705882353,0.472044362005336,67,18079.552238806,14,17859.8571428571,66,0.000644599511693489,9,109928805.821,1.56122448979592,0.987848421628647,0.411764705882353,0.642857142857143,18079.552238806,17859.8571428571,68,14
"Kelly Oubre Jr.",0,0,55,21752.3023837554,0.695121951219512,1.0609756097561,2.17073170731707,82,48,"SF",1547.5,0.671657986111111,80,203,12600000,0,27.0951403148528,16,0.333333333333333,0.19029751970089,48,17300.2916666667,34,17970.0588235294,47,-0.000647750284767268,11,291552953.69,0.970588235294118,1.03871421186229,0.333333333333333,0.323529411764706,17300.2916666667,17970.0588235294,48,34
"Kemba Walker",2,46,53,2872.57219981329,0.121951219512195,0.207317073170732,0.426829268292683,82,9,"PG",143.9,0.333101851851852,72,184,37281261,20913878.1219512,32.6830937713895,5,0.555555555555556,0.0578362802193731,9,19010.4444444444,73,19176.2328767123,8,0.00555570345969958,33,1215668993.344,0.813698630136986,1.00872091300929,0.555555555555556,0.452054794520548,19010.4444444444,19176.2328767123,9,73
"Kendall Brown",1,25,54,5092.31240435638,0.0975609756097561,0.146341463414634,0.304878048780488,82,6,"SG",40.3,0.139930555555555,80,205,508891,155149.695121951,19.6755646817248,1,0.166666666666667,0.0401956464035938,6,16962.8333333333,76,16759.5,5,-0.00356800281805247,34,699869840.24,2.68421052631579,0.988013008833037,0.166666666666667,0.447368421052632,16962.8333333333,16759.5,6,76
"Kendrick Nunn",0,0,58,35167.389629791,1,1.50602409638554,3.01204819277108,83,70,"SG",963.433333333333,0.286736111111111,74,190,5250000,0,27.4455852156057,30,0.428571428571429,0.329493149606921,70,18303.9428571429,13,18141.1538461538,69,-0.0024673406677439,6,144273805.622,1.07692307692308,0.99110634182703,0.428571428571429,0.461538461538462,18303.9428571429,18141.1538461538,70,13
"Kennedy Chandler",2,13,58,20124.6900660871,0.48780487804878,0.804878048780488,1.5609756097561,82,36,"PG",281.516666666667,0.162914737654321,72,171,1200000,190243.902439024,20.3244353182752,22,0.611111111111111,0.28094218014617,36,17994.75,46,17493.2826086957,35,-0.00352177408732268,29,739764139.61,1.03162055335968,0.972132572483399,0.611111111111111,0.630434782608696,17994.75,17493.2826086957,36,46
"Kenneth Lofton Jr.",0,0,57,12247.7069839311,0.3375,0.55,1.0625,80,24,"PF",175.95,0.152734375,79,275,1469235.12195122,0,20.4147843942505,15,0.625,0.172820136315614,24,17993.7916666667,56,17578.4642857143,23,-0.00887102167429621,34,885570739.059,0.971428571428571,0.976918295562921,0.625,0.607142857142857,17993.7916666667,17578.4642857143,24,56
"Kenrich Williams",2,27,57,27838.5990383668,0.74390243902439,1.13414634146341,2.23170731707317,82,53,"PF",1206.01666666667,0.474063155136268,79,210,2e+06,658536.585365853,28.113620807666,26,0.490566037735849,0.271032500267802,53,16659.2830188679,29,16932.8275862069,52,-0.00478544454137686,14,215535905.768,0.984084880636605,1.01641994838728,0.490566037735849,0.482758620689655,16659.2830188679,16932.8275862069,53,29
"Kentavious Caldwell-Pope",4,3,60,46045.4017229693,1.07317073170732,1.68292682926829,3.34146341463415,82,76,"SG",2381.21666666667,0.652745796783626,77,204,14004703,512367.18292683,29.8986995208761,51,0.671052631578947,0.602995190016967,76,18467.6447368421,6,17973.6666666667,75,0,2,104241213.849,0.496732026143791,0.9732517017078,0.671052631578947,0.333333333333333,18467.6447368421,17973.6666666667,76,6
"Keon Ellis",0,0,52,11915.9028036929,0.25609756097561,0.329268292682927,0.646341463414634,82,16,"SG",70.8666666666667,0.0922743055555556,78,175,508891,0,23.0130047912389,7,0.4375,0.112576806697379,16,17637.875,66,17457.3333333333,15,0.0116328944596167,41,777366188.001,1.41991341991342,0.989763978559397,0.4375,0.621212121212121,17637.875,17457.3333333333,16,66
